#id	掉落道具id列表	掉落数量(对装备默认掉落1)
$tabid	droplist	dropcount
0	10000|10001|10002|20000	1|1|1|1
1	10000|10001|10002|20001	1|1|1|1
2	10000|10001|10002|20002	1|1|1|1
3	10000|10001|10002|20003	1|1|1|1
4	10000|10001|10002|20004	1|1|1|1
5	10000|10001|10002|20005	1|1|1|1
6	10000|10001|10002|20006	1|1|1|1
7	10000|10001|10002|20007	1|1|1|1
8	10000|10001|10002|20008	1|1|1|1
9	10000|10001|10002|20009	1|1|1|1
10	10000|10001|10002|20010	1|1|1|1
11	10000|10001|10002|20011	1|1|1|1
12	10000|10001|10002|20012	1|1|1|1
13	10000|10001|10002|20013	1|1|1|1
14	10000|10001|10002|20014	1|1|1|1
15	10000|10001|10002|20015	1|1|1|1
16	10000|10001|10002|20016	1|1|1|1
17	10000|10001|10002|20017	1|1|1|1
18	10000|10001|10002|20018	1|1|1|1
19	10000|10001|10002|20019	1|1|1|1
20	10000|10001|10002|20020	1|1|1|1
21	10000|10001|10002|20021	1|1|1|1
22	10000|10001|10002|20022	1|1|1|1
