#C:\Users\Administrator\AppData\LocalLow\DefaultCompany\Dungeon Light
#id	类型(0=金钱[0~9999]，1=药水[10000~19999],2=装备[20000~29999])	装备类型	名字	售价	装备等级/需求等级	品质	叠加	MAXHP	MAXMP	AD	AP	ADD	APD	MOVESPEED	道具图标	掉落外观	掉落高度偏移	掉落缩放
$tabid	type	ietype	name	price	level	quality	overlay	maxhp	maxmp	ad	ap	add	apd	movespeed	icon	model	dropheight	dropscale
0	0	0	小金币	5	1	0	100	20	0	0	0	0	0	0	medicine_hp_0	Medicines/medicine_hp_0	0.75	1
10000	1	0	小红药	5	1	0	100	20	0	0	0	0	0	0	medicine_hp_0	Medicines/medicine_hp_0	0.75	1
10001	1	0	中红药	10	5	0	100	50	0	0	0	0	0	0	medicine_hp_1	Medicines/medicine_hp_1	0.75	1
10002	1	0	大红药	20	10	0	100	100	0	0	0	0	0	0	medicine_hp_2	Medicines/medicine_hp_2	0.75	1
20000	2	0	木剑	100	1	1	0	0	0	10	0	0	0	0	Wooden Sword	Weapons/Wooden Sword	0.75	0.5
20001	2	0	干将	101	2	1	0	0	0	25	0	0	0	0	Yorukaze	Weapons/Yorukaze	0.75	0.5
20002	2	0	莫邪	102	3	1	0	0	0	40	0	0	0	0	Trindel	Weapons/Trindel	0.75	0.5
20003	2	0	流星	103	4	1	0	0	0	55	0	0	0	0	Talon	Weapons/Talon	0.75	0.5
20004	2	0	轩辕	104	5	1	0	0	0	70	0	0	0	0	Sword Kladenets	Weapons/Sword Kladenets	0.75	0.5
20005	2	0	太阿	105	6	1	0	0	0	85	0	0	0	0	Spirit	Weapons/Spirit	0.75	0.5
20006	2	0	鱼肠	106	7	1	0	0	0	100	0	0	0	0	Spade	Weapons/Spade	0.75	0.5
20007	2	0	百里	107	8	1	0	0	0	115	0	0	0	0	Sky Sword	Weapons/Sky Sword	0.75	0.5
20008	2	0	流光	108	9	1	0	0	0	130	0	0	0	0	Serpents Tooth	Weapons/Serpents Tooth	0.75	0.5
20009	2	0	凄然	109	10	1	0	0	0	145	0	0	0	0	Retribution	Weapons/Retribution	0.75	0.5
20010	2	0	倚天剑	110	11	1	0	0	0	160	0	0	0	0	Pheonix Glow	Weapons/Pheonix Glow	0.75	0.5
20011	2	0	冰凤炎凤	111	12	1	0	0	0	175	0	0	0	0	Obelisk Sword	Weapons/Obelisk Sword	0.75	0.5
20012	2	0	皇天怒	112	13	1	0	0	0	190	0	0	0	0	Nosferatu	Weapons/Nosferatu	0.75	0.5
20013	2	0	魑魅魍魉	113	14	1	0	0	0	205	0	0	0	0	Maverick	Weapons/Maverick	0.75	0.5
20014	2	0	龙麟	114	15	1	0	0	0	220	0	0	0	0	Lizard King Sword	Weapons/Lizard King Sword	0.75	0.5
20015	2	0	工布	115	16	1	0	0	0	235	0	0	0	0	Heretic	Weapons/Heretic	0.75	0.5
20016	2	0	七圣	116	17	1	0	0	0	250	0	0	0	0	Goblin Sword	Weapons/Goblin Sword	0.75	0.5
20017	2	0	冷艳锯	117	18	1	0	0	0	265	0	0	0	0	Gantz	Weapons/Gantz	0.75	0.5
20018	2	0	青龙偃月刀	118	19	1	0	0	0	280	0	0	0	0	Flat Iron	Weapons/Flat Iron	0.75	0.5
20019	2	0	断魂血镰	119	20	1	0	0	0	295	0	0	0	0	Eclipse	Weapons/Eclipse	0.75	0.5
20020	2	0	皇龙偃月刀 	120	21	1	0	0	0	310	0	0	0	0	Dragon Slayer	Weapons/Dragon Slayer	0.75	0.5
20021	2	0	方天画戟 	121	22	1	0	0	0	325	0	0	0	0	Brimstone Blade	Weapons/Brimstone Blade	0.75	0.5
20022	2	0	混沌开天斧	122	23	1	0	0	0	340	0	0	0	0	Blaster Sword	Weapons/Blaster Sword	0.75	0.5
