#id	坐标x	坐标y	坐标z	怪物id	出生概率（百分比）	时间间隔
$tabid	x	y	z	monsterid	rate	space
0	0	0	0	0	50	30
1	218.9647	0	-45.49661	0	50	30
2	-4.691986	0	-4.406189	0	50	30
3	-145.2373	0	-127.8101	0	50	30
4	-1.071899	0	172.8711	0	50	30
5	27.6254	0	149.108	0	50	30
6	41.66635	0	17.4512	0	50	30
7	249.5772	0	-157.9382	0	50	30
8	-246.2892	0	147.531	0	50	30
9	133.5392	0	-172.9038	0	50	30
10	-234.0343	0	119.1492	0	50	30
11	-197.8557	0	113.0699	0	50	30
12	130.0734	0	187.2705	0	50	30
13	144.2744	0	-245.8213	0	50	30
14	90.57671	0	68.93276	0	50	30
15	115.1445	0	34.36014	0	50	30
16	-46.45231	0	55.52224	0	50	30
17	95.60363	0	-115.1083	0	50	30
18	-19.61979	0	-109.4061	0	50	30
19	177.9255	0	-122.5352	0	50	30
20	-7.137268	0	79.65993	0	50	30
21	118.088	0	243.2624	0	50	30
22	228.4519	0	202.6971	0	50	30
23	-236.7581	0	149.6721	0	50	30
24	38.77768	0	91.27312	0	50	30
25	81.0452	0	80.04266	0	50	30
26	52.33576	0	-148.1432	0	50	30
27	-7.19931	0	8.043266	0	50	30
28	-76.98575	0	-56.02774	0	50	30
29	183.4176	0	96.35275	0	50	30
30	158.8162	0	-93.8634	0	50	30
31	241.5015	0	-22.41305	0	50	30
32	59.79839	0	-86.82594	0	50	30
33	161.0783	0	220.0149	0	50	30
34	247.0045	0	-59.48648	0	50	30
35	-223.3076	0	-170.8939	0	50	30
36	144.3226	0	243.8662	0	50	30
37	159.3856	0	198.1065	0	50	30
38	-96.48469	0	-137.5485	0	50	30
39	-131.3286	0	17.97351	0	50	30
40	123.3749	0	245.7601	0	50	30
41	-38.22223	0	239.9097	0	50	30
42	115.8688	0	-38.31873	0	50	30
43	10.28522	0	-152.4786	0	50	30
44	123.4448	0	-49.55634	0	50	30
45	153.3281	0	-245.7106	0	50	30
46	-155.1544	0	81.53307	0	50	30
47	-84.11304	0	-40.47611		50	30
48	-15.53699	0	-0.6667633	1	50	30
49	-237.9991	0	-152.6177	1	50	30
50	-81.04172	0	93.92082	1	50	30
51	58.40775	0	-238.6113	1	50	30
52	191.0674	0	233.9653	1	50	30
53	209.8643	0	75.3284	1	50	30
54	-90.45712	0	-148.9628	1	50	30
55	69.36883	0	125.2693	1	50	30
56	-157.3747	0	192.5452	1	50	30
57	144.6692	0	-88.66003	1	50	30
58	-7.370026	0	109.4429	1	50	30
59	181.9826	0	-231.1128	1	50	30
60	37.76523	0	-108.836	1	50	30
61	56.73972	0	-4.494217	1	50	30
62	-53.70673	0	126.7403	1	50	30
63	-228.9915	0	143.5523	1	50	30
64	130.0031	0	18.6142	1	50	30
65	165.1035	0	152.6739	1	50	30
66	-208.3895	0	241.6445	1	50	30
67	-167.915	0	147.0089	1	50	30
68	92.51653	0	-44.54651	1	50	30
69	-177.0498	0	77.60178	1	50	30
70	-197.6518	0	159.8482	1	50	30
71	86.67599	0	-237.7357	1	50	30
72	-56.31188	0	-99.37027	1	50	30
73	227.4539	0	151.5828	1	50	30
74	-186.3895	0	223.5965	1	50	30
75	48.53109	0	26.59497	1	50	30
76	-136.5442	0	196.485	1	50	30
77	108.7307	0	-241.2121	2	50	30
78	-37.76785	0	13.3256	2	50	30
79	-33.76469	0	215.5318	2	50	30
80	-112.492	0	56.2636	2	50	30
81	122.8613	0	162.1698	2	50	30
82	118.3216	0	105.0085	2	50	30
83	211.6254	0	-176.2619	2	50	30
84	99.42453	0	179.4138	2	50	30
85	-144.2522	0	100.1147	2	50	30
86	-22.01465	0	49.48648	2	50	30
87	164.5842	0	-24.05616	2	50	30
88	-235.175	0	-38.52406	2	50	30
89	159.4064	0	111.4088	2	50	30
90	20.68845	0	0.08169556	2	50	30
91	121.6007	0	246.4941	2	50	30
92	166.9424	0	175.9853	2	50	30
93	-49.73868	0	-102.3934	2	50	30
94	141.5428	0	18.58005	2	50	30
95	230.5901	0	88.6492	2	50	30
96	42.73102	0	218.2007	2	50	30
97	88.20432	0	115.0711	3	50	30
98	-102.9417	0	-68.91135	3	50	30
99	-83.21902	0	-60.17092	3	50	30
100	-63.96469	0	188.437	3	50	30
101	-137.3519	0	100.4163	3	50	30
102	208.1333	0	32.5003	3	50	30
103	176.2459	0	114.8598	3	50	30
104	214.8399	0	185.2102	3	50	30
105	85.9037	0	-205.7465	3	50	30
106	239.9256	0	103.2925	3	50	30
107	101.8336	0	-139.4853	3	50	30
108	173.6978	0	143.4046	3	50	30
109	131.6501	0	213.0071	4	50	30
110	-51.90775	0	-230.8062	4	50	30
111	162.7751	0	-108.0944	4	50	30
112	232.1657	0	-77.07742	4	50	30
113	-234.8765	0	53.43274	4	50	30
114	-14.54535	0	-227.8654	4	50	30
115	240.2566	0	-48.53347	4	50	30
116	-114.8852	0	33.61615	5	50	30
117	-194.2733	0	-158.7316	5	50	30
118	183.0098	0	-51.15012	5	50	30
119	-208.4497	0	-157.4154	5	50	30
120	-73.05106	0	150.1161	5	50	30
