#等级	MAXHP	MAXMP	AD	AP	ADD	APD	MOVESPEED	升级所需经验
$lv	maxhp	maxmp	ad	ap	add	apd	movespeed	exp
0	0	0	0	0	0	0	0	0
1	200	100	10	5	3	3	3	100
2	300	150	10	10	4	4	3	200
3	400	200	10	15	5	5	3	300
4	500	250	10	20	6	6	3	400
5	600	300	10	25	7	7	3	500
6	700	350	10	30	8	8	3	600
7	800	400	10	35	9	9	3	700
8	900	450	10	40	10	10	3	800
9	1000	500	10	45	11	11	3	900
10	1100	550	10	50	12	12	3	1000
11	1200	600	10	55	13	13	3	1100
12	1300	650	10	60	14	14	3	1200
13	1400	700	10	65	15	15	3	1300
14	1500	750	10	70	16	16	3	1400
15	1600	800	10	75	17	17	3	1500
16	1700	850	10	80	18	18	3	1600
17	1800	900	10	85	19	19	3	1700
18	1900	950	10	90	20	20	3	1800
19	2000	1000	10	95	21	21	3	1900
20	2100	1050	10	100	22	22	3	2000
21	2200	1100	10	105	23	23	3	2100
22	2300	1150	10	110	24	24	3	2200
23	2400	1200	10	115	25	25	3	2300
24	2500	1250	10	120	26	26	3	2400
25	2600	1300	10	125	27	27	3	2500
26	2700	1350	10	130	28	28	3	2600
27	2800	1400	10	135	29	29	3	2700
28	2900	1450	10	140	30	30	3	2800
29	3000	1500	10	145	31	31	3	2900
30	3100	1550	10	150	32	32	3	3000
31	3200	1600	10	155	33	33	3	3100
32	3300	1650	10	160	34	34	3	3200
33	3400	1700	10	165	35	35	3	3300
34	3500	1750	10	170	36	36	3	3400
35	3600	1800	10	175	37	37	3	3500
36	3700	1850	10	180	38	38	3	3600
37	3800	1900	10	185	39	39	3	3700
38	3900	1950	10	190	40	40	3	3800
39	4000	2000	10	195	41	41	3	3900
40	4100	2050	10	200	42	42	3	4000
41	4200	2100	10	205	43	43	3	4100
42	4300	2150	10	210	44	44	3	4200
43	4400	2200	10	215	45	45	3	4300
44	4500	2250	10	220	46	46	3	4400
45	4600	2300	10	225	47	47	3	4500
46	4700	2350	10	230	48	48	3	4600
47	4800	2400	10	235	49	49	3	4700
48	4900	2450	10	240	50	50	3	4800
49	5000	2500	10	245	51	51	3	4900
50	5100	2550	10	250	52	52	3	5000
51	5200	2600	10	255	53	53	3	5100
52	5300	2650	10	260	54	54	3	5200
53	5400	2700	10	265	55	55	3	5300
54	5500	2750	10	270	56	56	3	5400
55	5600	2800	10	275	57	57	3	5500
56	5700	2850	10	280	58	58	3	5600
57	5800	2900	10	285	59	59	3	5700
58	5900	2950	10	290	60	60	3	5800
59	6000	3000	10	295	61	61	3	5900
60	6100	3050	10	300	62	62	3	6000
61	6200	3100	10	305	63	63	3	6100
62	6300	3150	10	310	64	64	3	6200
63	6400	3200	10	315	65	65	3	6300
64	6500	3250	10	320	66	66	3	6400
65	6600	3300	10	325	67	67	3	6500
66	6700	3350	10	330	68	68	3	6600
67	6800	3400	10	335	69	69	3	6700
68	6900	3450	10	340	70	70	3	6800
69	7000	3500	10	345	71	71	3	6900
70	7100	3550	10	350	72	72	3	7000
71	7200	3600	10	355	73	73	3	7100
72	7300	3650	10	360	74	74	3	7200
73	7400	3700	10	365	75	75	3	7300
74	7500	3750	10	370	76	76	3	7400
75	7600	3800	10	375	77	77	3	7500
76	7700	3850	10	380	78	78	3	7600
77	7800	3900	10	385	79	79	3	7700
78	7900	3950	10	390	80	80	3	7800
79	8000	4000	10	395	81	81	3	7900
80	8100	4050	10	400	82	82	3	8000
81	8200	4100	10	405	83	83	3	8100
82	8300	4150	10	410	84	84	3	8200
83	8400	4200	10	415	85	85	3	8300
84	8500	4250	10	420	86	86	3	8400
85	8600	4300	10	425	87	87	3	8500
86	8700	4350	10	430	88	88	3	8600
87	8800	4400	10	435	89	89	3	8700
